epoch,train_loss,train_err,test_err
0,1.658104658126831,0.55772,0.553
1,1.1574270725250244,0.43164,0.4241
2,0.9339385032653809,0.38846,0.3799
3,0.6638813018798828,0.30168,0.288
4,0.914760410785675,0.25354,0.2635
5,0.7754858732223511,0.23422,0.2464
6,0.561111569404602,0.2044,0.2145
7,0.4998599588871002,0.1806,0.196
8,0.4516410827636719,0.2064,0.2208
9,0.6590721607208252,0.174,0.1895
10,0.46896806359291077,0.15536,0.171
11,0.4101124703884125,0.1875,0.2162
12,0.4583686292171478,0.17204,0.1932
13,0.40464863181114197,0.1669,0.1912
14,0.45491719245910645,0.16506,0.1859
15,0.27341780066490173,0.13936,0.1713
16,0.46123480796813965,0.1566,0.1767
17,0.41491079330444336,0.16982,0.1995
18,0.31139010190963745,0.16966,0.1979
19,0.3346734046936035,0.14556,0.1774
20,0.5691630244255066,0.1571,0.1811
21,0.39454030990600586,0.15132,0.1803
22,0.570574164390564,0.19954,0.2149
23,0.2495562583208084,0.14738,0.1745
24,0.3972831964492798,0.12126,0.1474
25,0.2511502504348755,0.12716,0.1553
26,0.23150260746479034,0.12548,0.161
27,0.18309080600738525,0.11954,0.1502
28,0.4006492495536804,0.13552,0.1697
29,0.21949072182178497,0.1272,0.1647
30,0.33799469470977783,0.14072,0.1726
31,0.3530727028846741,0.14472,0.1796
32,0.28853505849838257,0.15248,0.1812
33,0.2176530361175537,0.11622,0.1522
34,0.23173606395721436,0.1053,0.1434
35,0.29594406485557556,0.15424,0.1931
36,0.28627294301986694,0.1058,0.1417
37,0.34091633558273315,0.12108,0.1647
38,0.3609499931335449,0.1062,0.1489
39,0.25205329060554504,0.13274,0.1776
40,0.1309235394001007,0.1066,0.1458
41,0.3768288195133209,0.12892,0.1612
42,0.30489611625671387,0.09516,0.1392
43,0.3920815587043762,0.1189,0.1495
44,0.30013102293014526,0.11002,0.1515
45,0.3234710097312927,0.13792,0.1711
46,0.10145340114831924,0.11078,0.1524
47,0.26217952370643616,0.12396,0.1604
48,0.17285354435443878,0.12794,0.1664
49,0.21543791890144348,0.11788,0.1552
50,0.3155541718006134,0.1047,0.1464
51,0.2944747805595398,0.0842,0.1279
52,0.27124840021133423,0.10266,0.1407
53,0.22732627391815186,0.09782,0.1359
54,0.24128925800323486,0.1136,0.1577
55,0.18367944657802582,0.11808,0.1542
56,0.171288400888443,0.11266,0.1631
57,0.22535714507102966,0.09098,0.1278
58,0.20769628882408142,0.10016,0.1397
59,0.172026127576828,0.12122,0.1552
60,0.1630047708749771,0.09076,0.133
61,0.19364584982395172,0.10916,0.1523
62,0.2770673632621765,0.10242,0.1428
63,0.2157684564590454,0.11542,0.1563
64,0.13003504276275635,0.10718,0.1464
65,0.29161012172698975,0.10188,0.1438
66,0.17327424883842468,0.08586,0.1375
67,0.18861603736877441,0.11386,0.1584
68,0.3401220440864563,0.09298,0.1373
69,0.35622438788414,0.11626,0.1587
70,0.4336901605129242,0.09884,0.1366
71,0.3062421679496765,0.08302,0.126
72,0.13519251346588135,0.15744,0.1951
73,0.2294713258743286,0.09108,0.1326
74,0.15780015289783478,0.08462,0.1259
75,0.27058732509613037,0.09868,0.1401
76,0.3204400837421417,0.11698,0.1579
77,0.24224038422107697,0.10154,0.1449
78,0.28711846470832825,0.0923,0.1276
79,0.19007247686386108,0.09522,0.1425
80,0.17314907908439636,0.08788,0.1298
81,0.290194034576416,0.10062,0.1416
82,0.13950280845165253,0.03608,0.0911
83,0.09670892357826233,0.03144,0.0874
84,0.08361802995204926,0.02922,0.0837
85,0.09055041521787643,0.02786,0.0844
86,0.019926708191633224,0.02592,0.0857
87,0.05399756506085396,0.02524,0.0805
88,0.15895488858222961,0.02256,0.0826
89,0.09174299240112305,0.02336,0.0831
90,0.11536023765802383,0.02152,0.0807
91,0.05293591693043709,0.02032,0.0816
92,0.1386614888906479,0.02074,0.0821
93,0.06716060638427734,0.01942,0.083
94,0.12431737035512924,0.01918,0.0853
95,0.025509219616651535,0.01744,0.0827
96,0.0867399275302887,0.01788,0.0802
97,0.020225293934345245,0.01732,0.0831
98,0.06771674752235413,0.0176,0.0835
99,0.038533423095941544,0.01624,0.0816
100,0.09615113586187363,0.01518,0.0827
101,0.09428912401199341,0.01652,0.0849
102,0.07025797665119171,0.01414,0.0853
103,0.09284306317567825,0.01346,0.0841
104,0.03289594501256943,0.01354,0.0843
105,0.023986874148249626,0.01342,0.0831
106,0.1119728535413742,0.01254,0.0843
107,0.05802128463983536,0.0133,0.0851
108,0.04760877788066864,0.01244,0.082
109,0.044238120317459106,0.01398,0.0858
110,0.04749700427055359,0.01228,0.0843
111,0.015153179876506329,0.01208,0.0838
112,0.028425093740224838,0.012,0.0856
113,0.05896304175257683,0.011,0.0867
114,0.015007871203124523,0.01262,0.0887
115,0.020293770357966423,0.00942,0.0834
116,0.07446175068616867,0.01012,0.0838
117,0.045404545962810516,0.01102,0.0869
118,0.021212628111243248,0.00998,0.0837
119,0.048357512801885605,0.01072,0.0856
120,0.018699442967772484,0.00936,0.0845
121,0.0579339936375618,0.00948,0.0844
122,0.00669431034475565,0.0114,0.0863
123,0.0834595263004303,0.00748,0.0835
124,0.020841116085648537,0.00712,0.082
125,0.012167838402092457,0.00644,0.082
126,0.07793444395065308,0.00658,0.0811
127,0.015382292680442333,0.00616,0.0799
128,0.05893557518720627,0.00644,0.0803
129,0.017913172021508217,0.00584,0.0816
130,0.008937772363424301,0.00552,0.0822
131,0.007549700792878866,0.00608,0.0798
132,0.027099978178739548,0.0061,0.0801
133,0.048092070966959,0.0056,0.0817
134,0.04162653163075447,0.00522,0.0806
135,0.02488856017589569,0.00598,0.0814
136,0.027578983455896378,0.00536,0.0815
137,0.011967348866164684,0.00574,0.0805
138,0.023607324808835983,0.00482,0.081
139,0.04739389941096306,0.00586,0.0798
140,0.05284399911761284,0.00628,0.0815
141,0.05144273489713669,0.0054,0.0808
142,0.02926076576113701,0.00538,0.0813
143,0.05349751561880112,0.00496,0.0812
144,0.007229709066450596,0.00528,0.0817
145,0.05000384524464607,0.00484,0.0812
146,0.00549868680536747,0.0046,0.082
147,0.014071504585444927,0.0052,0.0824
148,0.014345522038638592,0.00434,0.0813
149,0.03284453600645065,0.00484,0.082
150,0.027177313342690468,0.0051,0.0812
151,0.05383659154176712,0.0048,0.0809
152,0.04468471184372902,0.00506,0.0811
153,0.03141799569129944,0.00486,0.0817
154,0.04965091496706009,0.00462,0.0813
155,0.004033944569528103,0.00384,0.0815
156,0.022650577127933502,0.00472,0.0815
157,0.055376701056957245,0.00472,0.0811
158,0.028250861912965775,0.00462,0.0808
159,0.0269211083650589,0.00448,0.0807
160,0.02575400471687317,0.00412,0.0804
161,0.0225856713950634,0.00422,0.082
162,0.024338431656360626,0.0044,0.0807
163,0.005611418280750513,0.0049,0.0812
